ra,dec,pmra,pmdec,CMC15[dm|r|ra|dec|t],Pan-STARRS DR1[dm|r|ra|dec|t],2MASS All-Sky[dm|r|ra|dec|t],SDSS DR12[dm|r|ra|dec|t],URAT1[dm|r|ra|dec|t],UCAC4[dm|r|ra|dec|t]
134.7583000684652,60.992638257303035,-50.77293317178293,-155.69661102425312,,2.34|0.186|134.75832984|60.99268249|2013.1,3.24|2.432|134.758708|60.993279|1999.8,2.64|1.95|134.758639|60.993149|2003.8,2.44|0.334|134.7583458|60.9927228|2013.8,2.44|1.852|134.7585915|60.9931275|2000.0
276.38070461411513,-46.7890787170658,-60.83159336207487,-35.050641663199656,,,1.77|19.21|276.385414|-46.784817|1999.4,,,1.84|1.118|276.3811474|-46.7889834|1997.1
276.36584308809853,-46.768085356835,-68.66361452725229,-21.624102760862822,,,0.02|17.221|276.372169|-46.770119|1999.4,,,nan|1.045|276.3662539|-46.7679889|1991.9
97.20281214821549,-51.34414022603406,-40.94996709768131,-107.89792338217708,,,1.74|20.723|97.201989|-51.338413|1999.9,,,2.03|1.82|97.2031553|-51.343687|1987.7
97.1832499553368,-51.846188369619476,-112.46767480115707,353.2420096278799,,,3.66|5.844|97.184036|-51.847744|1999.9,,,
229.50787521889114,42.25722486417057,13.158307339447026,-8.24016300950964,0.1|0.211|229.507809|42.257258|2003.3,0.34|1.287|229.50749409|42.25744588|2010.6,1.39|0.182|229.50782|42.257256|1999.4,0.82|0.067|229.507863|42.257243|2003.3,nan|0.03|229.5078661|42.2572306|2013.8,nan|0.246|229.5077948|42.2572589|1985.6
226.69425697559714,40.67079477320403,-76.72058518308597,-21.23784623624436,1.05|0.978|226.694602|40.670874|2001.5,2.35|0.075|226.69428456|40.67080349|2012.0,3.35|1.38|226.694746|40.670898|1998.3,2.67|1.085|226.694642|40.670876|2002.1,2.54|0.15|226.6943072|40.6708161|2013.7,nan|1.063|226.6946442|40.6708378|1985.7
117.5616859954904,7.189246217905643,211.54272043199668,-1782.6584231415095,0.09|11.804|117.564526|7.187553|2000.8,0.25|12.652|117.56463746|7.1872872|2013.0,0.92|11.589|117.564482|7.187596|1999.9,0.56|10.712|117.564286|7.190734|2005.8,nan|2.871|117.5616114|7.1900336|2013.9,nan|17.398|117.5639524|7.1935214|2000.0
117.56483528464396,7.1859292365176834,209.90164003917818,-1790.483683241639,0.23|26.371|117.56402|7.193203|2000.8,0.5|4.964|117.56463746|7.1872872|2013.0,0.67|6.158|117.564482|7.187596|1999.9,0.81|17.432|117.564286|7.190734|2005.8,nan|2.454|117.5647506|7.1865989|2014.1,nan|27.537|117.5639524|7.1935214|2000.0
283.0789034858078,-4.951026881908285,-21.366734434182888,5.2655836494102015,2.61|24.681|283.0817|-4.957288|2004.5,0.13|17.913|283.07428916|-4.95290958|2012.1,3.85|5.583|283.078856|-4.949471|1999.3,,nan|5.643|283.0788175|-4.9494561|2013.5,nan|15.923|283.0773492|-4.9551617|1989.0
