RA[deg]          	Decl [deg]          	|CMC15  |PanSt1 |2MASSAS|SDSS12 |URAT1  |UCAC4  |total
295.012306837381743	  5.505817902066741	20.028341	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.045703979637153	  5.566600965562563	14.596951	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
 70.665881539906991	-47.551734807157743	11.685700	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 66.499687147206672	-46.353793154521142	11.867862	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 65.989695056230047	-45.847292654934570	16.682034	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
267.518277118140418	-35.733250973314775	19.590530	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
 78.554946258594669	 81.656219382490079	16.112452	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
 65.142765645833876	 81.531791336094756	12.056917	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
  5.865570756790996	 24.307344323492373	12.837631	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
190.016895935374663	-65.635712671620951	20.438160	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
114.453815708654176	-21.612114144733233	20.310120	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
247.295541112843267	 21.123439045497133	14.622263	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
240.635026154383610	-58.206496534166789	20.611568	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
240.207736031628428	-58.341330404444939	20.451760	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
240.565257000589497	-58.150541375941465	20.523771	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 32.328410245827143	-27.288159564836846	14.280205	|  NF   |  NF   |  NF   | fail1 | fail1 |success|1
267.700525634820679	-39.558308517206527	19.228140	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
332.850163960947611	 40.999928454935485	13.236276	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
332.819427107264005	 41.016232854060469	10.381222	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
146.451424578646083	 28.097852915984408	11.717989	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
147.215734771449092	 28.437628407067614	12.633556	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
144.207519777762514	 27.972477706359157	 8.940081	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
274.265939014766104	 44.092358869831379	16.724245	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
230.978643297558506	-31.991142907765333	20.406006	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
230.535885943210758	-31.870848956792294	14.561219	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
305.184472045793370	-49.023552684718148	19.572660	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 52.866933706942902	-26.326545345948357	12.733915	|  NF   |  NF   |  NF   | fail1 | fail1 |success|1
 54.131459872176571	-26.332871732897686	14.289025	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
 53.557805467011548	-26.321774502466994	13.329059	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
246.340009321371952	-44.095759386722655	19.522200	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
256.608715450056422	-32.853810012432248	19.616646	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
230.224223669554675	-34.803722667669398	20.514816	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
231.124492057091658	-34.598308144611082	20.603058	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
255.966396121398873	 28.850268702367551	12.248460	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
 43.281246914079922	-10.319034467247768	14.488948	|  NF   |  NF   |  NF   | fail1 |success|success|2
 42.026926894105607	-11.764101578541377	10.132564	|  NF   |  NF   |  NF   | fail1 |success|  NF   |1
292.467277283469855	 10.859964668877163	20.197319	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
291.634148024785304	 11.082309308482902	20.547747	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
291.783104931270429	 11.264228716052697	20.669592	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
279.998518457781415	 -4.994579591072942	16.216192	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
279.676651153728415	 -5.030288575711623	20.325104	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
279.692289665259693	 -5.041281103361122	20.043580	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
150.826583224793296	  9.113930958943703	11.732014	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
150.808913141516086	  9.086451973008753	11.628818	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
151.109010653298725	  9.432211694790720	12.735217	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
  7.842020807852102	  0.158593936897693	12.484115	|  NF   |  NF   |  NF   |  NF   | fail1 |success|1
253.389213204849682	-56.549479263909831	11.991462	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
252.640761061821081	-56.934106709624054	20.717388	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
274.891789659185292	-27.934901190865080	11.385116	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
246.339517347648467	-54.457949466420096	20.056025	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
246.322574332364212	-54.423610525677923	20.059725	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
245.966758169788108	-54.233022173665844	20.295258	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
246.110759608787305	-54.251470693468242	20.194210	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
233.572418714294542	  2.313006774601264	16.232332	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
